Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN28454,2,0,1,2,Not Selected,0,Room_Type 1,47,2018,11,11,Online,0,0,0,79.2,2,Not_Canceled
INN01006,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,20,Complementary,1,0,2,0,0,Not_Canceled
INN26811,2,0,0,1,Meal Plan 1,0,Room_Type 1,34,2018,5,11,Online,0,0,0,126.9,0,Canceled
INN26636,2,0,0,1,Meal Plan 1,0,Room_Type 4,19,2018,11,4,Online,0,0,0,130,1,Canceled
INN13602,2,0,0,1,Not Selected,0,Room_Type 1,51,2018,7,15,Online,0,0,0,94.5,0,Not_Canceled
INN10517,1,0,0,1,Meal Plan 1,0,Room_Type 1,21,2018,5,10,Online,0,0,0,94.5,1,Not_Canceled
INN06618,2,0,2,3,Not Selected,0,Room_Type 1,108,2018,12,24,Online,0,0,0,97,1,Canceled
INN28985,2,0,2,2,Meal Plan 1,0,Room_Type 1,204,2017,10,2,Online,0,0,0,98.44,1,Not_Canceled
INN01008,2,0,0,2,Meal Plan 1,0,Room_Type 1,8,2018,2,5,Online,0,0,0,91,1,Canceled
INN18875,2,0,1,1,Not Selected,0,Room_Type 1,17,2018,7,11,Online,0,0,0,139,0,Not_Canceled
INN10268,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,4,16,Online,0,0,0,89,1,Not_Canceled
INN10423,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,3,21,Online,0,0,0,89,0,Not_Canceled
INN34700,1,0,0,1,Meal Plan 1,0,Room_Type 4,1,2017,10,20,Online,0,0,0,155,1,Not_Canceled
INN04176,2,0,1,2,Meal Plan 2,0,Room_Type 1,162,2017,9,4,Offline,0,0,0,85.17,2,Not_Canceled
INN25731,2,0,2,4,Meal Plan 1,0,Room_Type 1,175,2018,10,30,Online,0,0,0,90.9,2,Canceled
INN30644,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75,0,Canceled
INN29240,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,Not_Canceled
INN15247,2,2,2,1,Meal Plan 1,1,Room_Type 6,56,2018,8,13,Online,0,0,0,216.9,1,Not_Canceled
INN31266,2,1,2,0,Meal Plan 1,0,Room_Type 1,16,2018,12,4,Online,0,0,0,118.8,1,Not_Canceled
INN14092,2,0,1,4,Meal Plan 1,0,Room_Type 4,105,2018,1,25,Offline,0,0,0,84,0,Not_Canceled
INN25672,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,2,19,Corporate,0,0,0,81,0,Not_Canceled
INN35717,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,2,15,Corporate,1,2,20,65,1,Not_Canceled
INN02520,2,0,0,3,Not Selected,0,Room_Type 1,81,2018,3,9,Online,0,0,0,67.5,1,Not_Canceled
INN28695,2,0,0,1,Meal Plan 1,0,Room_Type 4,3,2018,9,22,Online,0,0,0,194,2,Not_Canceled
INN24617,2,0,0,1,Meal Plan 1,0,Room_Type 1,41,2018,12,27,Offline,0,0,0,65,0,Not_Canceled
INN34424,1,0,0,1,Meal Plan 1,0,Room_Type 4,6,2018,5,3,Corporate,0,0,0,110,0,Not_Canceled
INN03840,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,2018,9,8,Online,0,0,0,70,0,Canceled
INN19070,1,0,1,3,Meal Plan 1,0,Room_Type 1,10,2018,7,11,Offline,0,0,0,146,0,Not_Canceled
INN04092,2,0,0,3,Meal Plan 1,0,Room_Type 1,22,2018,10,5,Offline,0,0,0,85,0,Not_Canceled
INN08120,1,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,90,0,Not_Canceled
INN10013,2,0,0,3,Meal Plan 1,0,Room_Type 4,237,2018,10,13,Online,0,0,0,128.4,0,Canceled
INN08077,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115,1,Canceled
INN07915,1,0,4,9,Meal Plan 1,0,Room_Type 4,18,2018,2,26,Online,0,0,0,129.1,0,Canceled
INN31635,2,0,2,2,Meal Plan 1,0,Room_Type 1,98,2018,10,30,Online,0,0,0,85.05,1,Not_Canceled
INN12692,2,0,0,3,Meal Plan 1,0,Room_Type 1,90,2018,12,21,Online,0,0,0,93.6,1,Not_Canceled
INN31713,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,7,20,Online,0,0,0,111,0,Not_Canceled
INN29138,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109,0,Not_Canceled
INN04766,0,2,1,3,Meal Plan 1,0,Room_Type 2,147,2018,4,4,Online,0,0,0,6,1,Not_Canceled
INN08864,2,0,2,5,Meal Plan 1,0,Room_Type 1,137,2018,8,20,Online,0,0,0,102.73,1,Not_Canceled
INN21617,2,0,2,2,Meal Plan 1,0,Room_Type 1,24,2017,12,26,Offline,0,0,0,58,1,Not_Canceled
INN23077,2,0,1,3,Meal Plan 1,0,Room_Type 4,120,2018,8,8,Online,0,0,0,127.8,0,Canceled
INN26310,3,0,2,3,Meal Plan 1,0,Room_Type 4,42,2018,4,24,Online,0,0,0,134.98,0,Canceled
INN15336,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89,0,Canceled
INN32535,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,2018,5,2,Offline,0,0,0,100,1,Not_Canceled
INN19873,2,0,0,2,Meal Plan 1,0,Room_Type 1,322,2018,12,9,Offline,0,0,0,52,0,Not_Canceled
INN12951,2,0,0,2,Meal Plan 1,0,Room_Type 1,308,2018,11,25,Offline,0,0,0,52,0,Canceled
INN00624,2,0,1,1,Meal Plan 1,0,Room_Type 4,1,2018,6,11,Online,0,0,0,136,2,Not_Canceled
INN12981,2,0,0,1,Not Selected,0,Room_Type 1,125,2018,6,30,Online,0,0,0,85.5,1,Not_Canceled
INN02104,2,0,2,5,Not Selected,0,Room_Type 1,152,2018,8,20,Online,0,0,0,91.93,0,Canceled
INN08917,1,0,0,1,Not Selected,0,Room_Type 1,15,2018,1,21,Online,0,0,0,75,1,Not_Canceled
INN07947,1,0,0,1,Meal Plan 1,0,Room_Type 1,78,2018,4,8,Online,0,0,0,90.9,0,Canceled
INN32516,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,12,Online,0,0,0,151,1,Not_Canceled
INN33762,2,0,0,2,Meal Plan 1,0,Room_Type 1,17,2018,2,19,Online,0,0,0,91,0,Not_Canceled
INN20520,2,0,0,2,Meal Plan 1,0,Room_Type 1,301,2018,11,18,Offline,0,0,0,52,0,Canceled
INN20930,1,0,0,2,Meal Plan 1,0,Room_Type 1,7,2018,12,13,Corporate,0,0,0,79,0,Not_Canceled
INN15814,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115,1,Canceled
INN36236,1,0,1,0,Meal Plan 1,0,Room_Type 1,3,2017,9,21,Offline,0,0,0,77,0,Not_Canceled
INN35420,2,0,1,2,Meal Plan 1,0,Room_Type 1,31,2018,10,14,Offline,0,0,0,85,0,Not_Canceled
INN28049,2,0,2,3,Meal Plan 1,0,Room_Type 1,71,2018,6,26,Online,0,0,0,107.1,0,Canceled
INN03666,2,0,2,3,Meal Plan 1,0,Room_Type 1,12,2018,10,23,Online,0,0,0,94.35,2,Not_Canceled
INN17958,2,0,2,1,Meal Plan 1,0,Room_Type 4,139,2018,5,21,Online,0,0,0,124.5,1,Canceled
INN04641,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,12,5,Online,0,0,0,88,0,Not_Canceled
INN22940,2,0,0,1,Meal Plan 1,0,Room_Type 2,19,2017,12,23,Online,0,0,0,77.25,1,Not_Canceled
INN28533,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN28137,2,0,0,4,Not Selected,0,Room_Type 1,52,2018,11,23,Online,0,0,0,74.8,1,Not_Canceled
INN10203,2,2,2,1,Not Selected,0,Room_Type 6,0,2017,8,8,Online,0,0,0,153,0,Not_Canceled
INN14172,2,0,2,2,Meal Plan 1,0,Room_Type 4,33,2018,4,29,Online,0,0,0,140.4,1,Not_Canceled
INN16655,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130,0,Canceled
INN24414,3,0,0,3,Meal Plan 1,0,Room_Type 4,112,2018,12,27,Online,0,0,0,131.13,0,Canceled
INN21409,2,0,2,2,Meal Plan 1,0,Room_Type 1,44,2017,12,25,Online,0,0,0,66.24,0,Not_Canceled
INN14274,2,0,0,4,Meal Plan 2,0,Room_Type 1,323,2018,5,17,Offline,0,0,0,112,1,Canceled
INN32508,2,0,2,0,Meal Plan 1,0,Room_Type 1,90,2018,5,1,Offline,0,0,0,80.75,0,Not_Canceled
INN20890,1,0,2,2,Meal Plan 1,0,Room_Type 4,108,2018,6,26,Online,0,0,0,86.4,1,Not_Canceled
INN11081,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,10,4,Online,0,0,0,103.5,2,Not_Canceled
INN19618,3,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,3,3,Online,0,0,0,137,0,Canceled
INN35128,1,0,1,0,Meal Plan 1,0,Room_Type 1,11,2018,9,5,Corporate,0,0,0,112.88,0,Not_Canceled
INN04866,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,12,14,Corporate,1,0,1,79,1,Not_Canceled
INN34280,2,0,2,3,Meal Plan 1,0,Room_Type 4,19,2018,4,14,Online,0,0,0,131.6,0,Canceled
INN26746,2,0,1,1,Meal Plan 2,0,Room_Type 4,71,2018,10,22,Offline,0,0,0,142.5,0,Not_Canceled
INN21541,3,0,2,3,Meal Plan 1,0,Room_Type 4,31,2018,3,5,Online,0,0,0,119.1,1,Canceled
INN31004,2,0,2,2,Meal Plan 1,0,Room_Type 4,83,2018,5,7,Online,0,0,0,132.6,0,Canceled
INN13001,2,0,2,5,Meal Plan 1,0,Room_Type 4,77,2018,3,26,Online,0,0,0,97.02,0,Canceled
INN33852,2,0,0,2,Not Selected,0,Room_Type 1,12,2018,8,31,Online,0,0,0,118.5,1,Not_Canceled
INN27921,3,0,2,1,Meal Plan 1,0,Room_Type 4,80,2018,10,16,Online,0,0,0,151.2,1,Canceled
INN11083,2,0,2,5,Meal Plan 1,0,Room_Type 4,56,2018,5,13,Online,0,0,0,132.6,0,Canceled
INN07148,1,0,2,1,Meal Plan 1,0,Room_Type 1,24,2017,12,5,Corporate,0,0,0,47,0,Not_Canceled
INN28091,2,0,0,3,Not Selected,1,Room_Type 1,35,2018,10,27,Online,0,0,0,118,2,Not_Canceled
INN11598,2,0,2,2,Meal Plan 1,0,Room_Type 1,359,2018,9,16,Online,0,0,0,105,1,Canceled
INN32629,3,0,0,3,Meal Plan 1,0,Room_Type 4,45,2018,8,30,Online,0,0,0,151.2,2,Not_Canceled
INN25000,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104,0,Not_Canceled
INN18973,2,0,1,4,Meal Plan 1,0,Room_Type 1,148,2017,12,30,Offline,0,0,0,67,0,Not_Canceled
INN11208,2,2,1,3,Meal Plan 1,0,Room_Type 6,176,2018,10,24,Online,0,0,0,169.88,3,Not_Canceled
INN24264,2,1,0,1,Meal Plan 2,0,Room_Type 1,24,2018,12,20,Offline,0,0,0,132,0,Not_Canceled
INN12732,2,2,2,3,Meal Plan 1,0,Room_Type 6,18,2018,1,15,Online,0,0,0,169,0,Not_Canceled
INN25968,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,2,19,Corporate,0,0,0,81,0,Not_Canceled
INN19824,2,0,2,3,Meal Plan 1,0,Room_Type 1,13,2017,8,30,Online,0,0,0,99,2,Not_Canceled
INN34312,3,0,0,3,Meal Plan 1,0,Room_Type 4,179,2018,9,8,Online,0,0,0,150.45,2,Canceled
INN02363,2,0,2,1,Not Selected,0,Room_Type 1,54,2018,11,12,Online,0,0,0,88.2,1,Canceled
INN30628,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,7,30,Complementary,0,0,0,0,1,Not_Canceled
INN22168,2,0,0,4,Meal Plan 1,0,Room_Type 4,63,2018,7,27,Online,0,0,0,121.05,0,Canceled
INN30864,1,0,2,0,Not Selected,0,Room_Type 1,38,2018,8,21,Online,0,0,0,92.86,0,Canceled
INN08298,1,0,0,1,Meal Plan 1,0,Room_Type 1,16,2018,4,20,Corporate,1,0,2,95,0,Not_Canceled
INN01743,1,0,0,1,Meal Plan 1,0,Room_Type 1,21,2018,2,25,Corporate,0,0,0,66,0,Canceled
INN34836,3,0,0,1,Meal Plan 1,0,Room_Type 4,13,2018,6,10,Online,0,0,0,177,0,Not_Canceled
INN30268,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Offline,0,0,0,94.5,0,Canceled
INN00884,2,0,1,2,Meal Plan 1,0,Room_Type 4,11,2018,2,12,Offline,1,1,0,93.8,0,Not_Canceled
INN15470,1,0,1,0,Meal Plan 1,0,Room_Type 4,5,2018,9,12,Aviation,0,0,0,110,0,Canceled
INN16665,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Offline,0,0,0,130,0,Canceled
INN28392,2,0,0,2,Meal Plan 1,0,Room_Type 1,24,2017,12,4,Offline,0,0,0,55,0,Not_Canceled
INN15325,2,0,2,0,Meal Plan 1,0,Room_Type 1,146,2018,4,24,Offline,0,0,0,95,0,Canceled
INN06623,2,1,0,1,Not Selected,0,Room_Type 1,4,2018,8,2,Online,0,0,0,97.41,0,Not_Canceled
INN11871,2,0,0,2,Not Selected,0,Room_Type 1,29,2018,8,16,Offline,0,0,0,67.5,0,Not_Canceled
INN10302,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,2,4,Offline,0,0,0,66,0,Not_Canceled
INN21470,2,0,2,4,Not Selected,0,Room_Type 1,82,2018,7,24,Online,0,0,0,67.83,0,Not_Canceled
INN15499,2,0,0,2,Meal Plan 2,0,Room_Type 1,30,2017,9,30,Offline,0,0,0,121,0,Not_Canceled
INN01037,2,0,1,2,Not Selected,0,Room_Type 1,23,2018,2,12,Online,0,0,0,79,1,Canceled
INN26375,1,0,5,10,Meal Plan 1,0,Room_Type 1,11,2018,5,9,Aviation,0,0,0,95,0,Canceled
INN24399,3,0,1,5,Meal Plan 1,0,Room_Type 4,85,2018,8,22,Online,0,0,0,165.3,0,Not_Canceled
INN20512,2,1,2,3,Meal Plan 1,0,Room_Type 4,23,2018,12,30,Online,0,0,0,119.36,3,Not_Canceled
INN10238,2,2,2,2,Meal Plan 2,1,Room_Type 1,141,2018,7,10,Online,0,0,0,195.25,1,Not_Canceled
INN02165,2,0,0,1,Meal Plan 1,0,Room_Type 4,16,2018,5,25,Offline,0,0,0,107,0,Not_Canceled
INN17329,2,0,0,3,Meal Plan 1,0,Room_Type 1,372,2018,12,28,Online,0,0,0,93.3,0,Canceled
INN11884,1,0,4,10,Meal Plan 1,0,Room_Type 1,3,2018,10,2,Complementary,0,0,0,0,0,Not_Canceled
INN25483,2,0,0,4,Meal Plan 1,0,Room_Type 4,163,2018,6,29,Online,0,0,0,99.45,1,Not_Canceled
INN16664,2,0,0,2,Meal Plan 1,1,Room_Type 1,47,2018,10,11,Online,0,0,0,135,0,Not_Canceled
INN04522,2,0,2,5,Meal Plan 1,0,Room_Type 4,86,2018,5,11,Online,0,0,0,102.1,1,Not_Canceled
INN22955,2,0,2,1,Meal Plan 1,1,Room_Type 1,12,2017,11,7,Online,0,0,0,114,0,Not_Canceled
INN13442,2,0,1,2,Meal Plan 1,0,Room_Type 1,99,2018,9,5,Online,0,0,0,137.1,1,Not_Canceled
INN12534,2,0,1,4,Meal Plan 1,0,Room_Type 1,106,2018,7,13,Offline,0,0,0,72.25,0,Not_Canceled
INN00539,1,0,0,1,Meal Plan 1,0,Room_Type 1,35,2018,3,10,Online,0,0,0,71.1,0,Canceled
INN11139,2,0,1,4,Not Selected,0,Room_Type 1,49,2018,3,2,Online,0,0,0,65.75,0,Not_Canceled
INN11897,2,0,1,2,Meal Plan 1,0,Room_Type 1,279,2018,10,10,Offline,0,0,0,80.75,1,Not_Canceled
INN20264,2,0,0,1,Meal Plan 1,0,Room_Type 1,45,2018,10,20,Online,0,0,0,107.1,2,Not_Canceled
INN03828,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,11,5,Offline,0,0,0,65,1,Not_Canceled
INN32358,2,0,0,2,Meal Plan 1,0,Room_Type 1,315,2018,12,2,Offline,0,0,0,52,0,Not_Canceled
INN00311,2,0,1,0,Meal Plan 1,0,Room_Type 1,19,2018,7,25,Online,0,0,0,151,1,Canceled
INN26145,2,1,2,1,Meal Plan 1,0,Room_Type 1,130,2018,7,16,Online,0,0,0,103.56,2,Not_Canceled
INN16065,2,0,0,1,Meal Plan 1,0,Room_Type 1,5,2017,10,21,Online,0,0,0,0,0,Not_Canceled
INN08604,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65,0,Not_Canceled
INN05614,2,0,0,1,Not Selected,0,Room_Type 1,65,2018,10,28,Online,0,0,0,80.1,2,Not_Canceled
INN14167,2,0,2,2,Meal Plan 1,0,Room_Type 1,64,2018,2,12,Online,0,0,0,73.95,0,Canceled
INN30374,2,0,1,4,Meal Plan 2,0,Room_Type 1,197,2018,12,21,Offline,0,0,0,113.4,0,Not_Canceled
INN16137,2,0,0,5,Meal Plan 1,0,Room_Type 1,32,2018,10,25,Offline,0,0,0,85,1,Not_Canceled
INN13691,2,0,1,2,Meal Plan 1,0,Room_Type 1,267,2018,9,30,Offline,0,0,0,95,0,Canceled
INN24903,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,17,Complementary,0,0,0,0,0,Not_Canceled
INN16998,2,0,0,3,Meal Plan 1,0,Room_Type 4,77,2018,10,25,Online,0,0,0,104.4,2,Not_Canceled
INN29308,2,0,0,1,Not Selected,0,Room_Type 1,5,2018,2,25,Online,0,0,0,81,2,Not_Canceled
INN18144,2,0,2,0,Meal Plan 1,0,Room_Type 4,39,2018,1,17,Online,0,0,0,89.3,1,Not_Canceled
INN26454,2,0,2,3,Meal Plan 1,0,Room_Type 1,118,2018,11,25,Online,0,0,0,85,2,Not_Canceled
INN18005,2,0,0,4,Meal Plan 1,0,Room_Type 1,20,2018,11,1,Online,0,0,0,102,1,Canceled
INN07382,3,0,0,1,Meal Plan 1,0,Room_Type 4,7,2018,2,13,Online,0,0,0,127,1,Not_Canceled
INN04385,2,0,2,5,Meal Plan 1,0,Room_Type 1,99,2017,8,21,Online,0,0,0,76.5,0,Canceled
INN22960,2,0,2,2,Meal Plan 1,0,Room_Type 1,179,2018,8,26,Online,0,0,0,82.18,0,Canceled
INN13713,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109,0,Not_Canceled
INN04700,1,0,1,0,Meal Plan 1,0,Room_Type 1,25,2018,9,12,Online,0,0,0,108,2,Not_Canceled
INN12332,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2017,10,27,Corporate,0,0,0,65,0,Not_Canceled
INN35160,2,0,0,4,Meal Plan 1,0,Room_Type 1,116,2017,12,29,Online,0,0,0,85.5,1,Not_Canceled
INN20509,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120,0,Not_Canceled
INN15651,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,2018,10,16,Online,0,0,0,100.75,0,Canceled
INN21860,1,0,2,3,Meal Plan 1,0,Room_Type 1,24,2018,8,19,Offline,0,0,0,70,0,Not_Canceled
INN01701,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,75,0,Canceled
INN09728,2,2,2,1,Meal Plan 1,1,Room_Type 6,153,2018,8,20,Online,0,0,0,186.3,2,Canceled
INN10540,2,0,0,4,Meal Plan 1,0,Room_Type 1,21,2017,9,1,Online,0,0,0,105,0,Not_Canceled
INN04372,2,0,2,2,Not Selected,0,Room_Type 1,67,2018,11,11,Online,0,0,0,79.2,3,Not_Canceled
INN36007,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115,1,Canceled
INN32079,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,9,1,Online,0,0,0,99.63,0,Not_Canceled
INN12167,2,0,0,2,Not Selected,0,Room_Type 1,9,2018,2,23,Online,0,0,0,81,0,Not_Canceled
INN17285,1,0,0,1,Not Selected,0,Room_Type 1,1,2018,9,15,Online,0,0,0,159,1,Not_Canceled
INN00799,2,0,0,4,Meal Plan 1,0,Room_Type 1,200,2018,8,31,Online,0,0,0,105.4,1,Canceled
